Date,A,AAL,AAP,AAPL,ABBV,ABC,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AET,AFL,AGN,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMD,AME,AMG,AMGN,AMT,AMZN,ANDV,ANSS,ANTM,AON,AOS,APA,APC,APD,APTV,ARE,ARNC,ATVI,AVGO,AVY,AWK,AXP,AYI,AZO,BA,BAC,BAX,BBT,BBY,BDX,BEN,BHF,BHGE,BIIB,BK,BLK,BLL,BMY,BSX,BWA,BXP,C,CA,CAG,CAH,CAT,CB,CBOE,CBS,CCI,CCL,CDNS,CELG,CERN,CF,CFG,CHD,CHRW,CHTR,CI,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COG,COL,COO,COP,COST,COTY,CPB,CRM,CSCO,CSX,CTAS,CTL,CTSH,CTXS,CVS,CVX,CXO,DAL,DE,DFS,DG,DGX,DHI,DISCA,DISH,DLR,DLTR,DOV,DRE,DRI,DUK,DVA,DVN,DWDP,DXC,EA,EBAY,ECL,ED,EFX,EIX,EL,EMN,EOG,EQIX,EQT,ESRX,ESS,ETFC,ETR,EVHC,EW,EXC,EXPD,EXPE,EXR,F,FAST,FB,FBHS,FCX,FDX,FE,FFIV,FIS,FITB,FL,FLIR,FLR,FLS,FMC,FOX,FTI,FTV,GD,GE,GGP,GILD,GIS,GLW,GM,GOOG,GOOGL,GPN,GPS,GRMN,GS,GT,GWW,HAL,HAS,HBAN,HBI,HCA,HCP,HD,HES,HIG,HII,HLT,HOG,HOLX,HP,HPE,HPQ,HRB,HRL,HRS,HST,HSY,HUM,IBM,ICE,IDXX,ILMN,INCY,INFO,INTC,INTU,IP,IPG,IPGP,IQV,IR,IRM,ISRG,IT,IVZ,JBHT,JCI,JEC,JNJ,JNPR,JPM,JWN,K,KEY,KHC,KIM,KLAC,KMB,KMI,KMX,KO,KORS,KR,KSS,KSU,L,LB,LEG,LEN,LH,LKQ,LLL,LLY,LMT,LNC,LOW,LRCX,LUK,LUV,LYB,M,MA,MAA,MAC,MAR,MAS,MAT,MCD,MCHP,MCK,MCO,MDLZ,MET,MGM,MHK,MKC,MLM,MMC,MNST,MO,MON,MOS,MPC,MRK,MRO,MS,MSFT,MSI,MTD,MU,MYL,NAVI,NBL,NCLH,NDAQ,NEE,NEM,NFLX,NFX,NI,NKE,NKTR,NLSN,NOC,NOV,NRG,NSC,NTAP,NTRS,NUE,NVDA,NWL,NWS,NWSA,O,OKE,OMC,ORCL,ORLY,PAYX,PBCT,PCG,PEG,PEP,PFE,PFG,PG,PGR,PHM,PKG,PKI,PLD,PM,PNC,PNR,PPL,PRGO,PRU,PSA,PSX,PVH,PWR,PXD,PYPL,QCOM,QRVO,RCL,RE,REG,REGN,RF,RHI,RHT,RJF,RL,RMD,ROK,ROP,ROST,RRC,RSG,RTN,SBAC,SBUX,SCG,SCHW,SEE,SHW,SIVB,SJM,SNPS,SO,SPGI,SRCL,SRE,STI,STT,STX,STZ,SWK,SWKS,SYF,SYMC,SYY,T,TAP,TDG,TEL,TGT,TIF,TJX,TPR,TRIP,TRV,TSCO,TSN,TSS,TTWO,TWX,TXN,TXT,UA,UAL,UDR,UHS,ULTA,UNH,UNP,URI,USB,V,VAR,VFC,VIAB,VLO,VMC,VNO,VRSK,VRSN,VRTX,VTR,VZ,WAT,WBA,WDC,WEC,WFC,WHR,WLTW,WM,WMB,WMT,WRK,WU,WY,WYN,WYNN,XEC,XOM,XRAY,XRX,XYL,YUM,ZBH,ZION,ZTS
2015-08-05,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-06,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-07,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-10,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-11,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-12,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-13,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-17,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-18,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-19,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-20,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-21,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-24,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-26,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-27,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-28,,,0.049999999996248864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999960461,,,,,,,0.04999999999829054,,,,,,,,,,,-0.04999999999676751,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049999999990785284,,,,,,,,,,,,,,,,0.014890101301820424,,,,,,,,,,,,,,,,,,,,,,,,,0.019170988631803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03921062076506853,0.049999999997851236,,,,,,,,,-0.04999999999975843,,,,,,,,,,,,,,,,,,,,,,0.029669999759199216,,,,,,,,,,,0.04827509600372858,,,,,,,,0.049999999984440734,,,,,,,,,,,,,,,,,,,,,0.04999999999233884,,,,,,,,,,,,,,,,,,,,,,-0.03085320344739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037729701335947996,,,,,,,-0.028119813003629333,0.049999999999654966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999917044,,,,,,,,,,,,,-0.04999999999863492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999709452,,,,0.047278953811744434,,,,,,,-0.04999999999824401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
